IControl prefs:  border width: 18, border height: 18
IControl prefs:  title height: 16, Window height: 18
IControl prefs:  volume guage width: 19
screen width: 1024
Screen height: 768
entry Processing directory: PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T
Formatting actual folder - not a slove folder
screen width: 1024
windowWidth: 320
Dumping Icon Array of 267 icons, max width is 166px
Icon 56: Width = 42, Height = 42, Text Width = 47, Text Height = 13, Max Width = 47, Max Height = 57, x = 69, y = 2824, Text = TrianGO.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrianGO.info
Icon 57: Width = 42, Height = 42, Text Width = 64, Text Height = 13, Max Width = 64, Max Height = 57, x = 765, y = 2757, Text = TrexWarrior.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrexWarrior.info
Icon 58: Width = 42, Height = 42, Text Width = 74, Text Height = 13, Max Width = 74, Max Height = 57, x = 584, y = 2757, Text = TreasureTrap.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TreasureTrap.info
Icon 59: Width = 42, Height = 42, Text Width = 154, Text Height = 13, Max Width = 154, Max Height = 57, x = 368, y = 2757, Text = TreasureSavageFrontNTSC.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TreasureSavageFrontNTSC.info
Icon 60: Width = 42, Height = 42, Text Width = 145, Text Height = 13, Max Width = 145, Max Height = 57, x = 196, y = 2757, Text = TreasureIslandDizzyCD32.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TreasureIslandDizzyCD32.info
Icon 61: Width = 42, Height = 42, Text Width = 113, Text Height = 13, Max Width = 113, Max Height = 57, x = 36, y = 2757, Text = TreasureIslandDizzy.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TreasureIslandDizzy.info
Icon 62: Width = 42, Height = 42, Text Width = 111, Text Height = 13, Max Width = 111, Max Height = 57, x = 741, y = 2690, Text = TrapsNTreasuresDe.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrapsNTreasuresDe.info
Icon 63: Width = 42, Height = 42, Text Width = 95, Text Height = 13, Max Width = 95, Max Height = 57, x = 573, y = 2690, Text = TrapsNTreasures.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrapsNTreasures.info
Icon 64: Width = 42, Height = 42, Text Width = 65, Text Height = 13, Max Width = 65, Max Height = 57, x = 412, y = 2690, Text = TrapRunner.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrapRunner.info
Icon 65: Width = 42, Height = 42, Text Width = 77, Text Height = 13, Max Width = 77, Max Height = 57, x = 230, y = 2690, Text = TransworldDe.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TransworldDe.info
Icon 66: Width = 42, Height = 42, Text Width = 58, Text Height = 13, Max Width = 58, Max Height = 57, x = 64, y = 2690, Text = Transplant.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Transplant.info
Icon 67: Width = 42, Height = 42, Text Width = 96, Text Height = 13, Max Width = 96, Max Height = 57, x = 749, y = 2623, Text = TransarcticaAGA.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TransarcticaAGA.info
Icon 68: Width = 42, Height = 42, Text Width = 69, Text Height = 13, Max Width = 69, Max Height = 57, x = 586, y = 2623, Text = Transarctica.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Transarctica.info
